side,qty,rate,time
2,16.0,20634000,2023-06-29 01:15:51.851
2,32.0,20634000,2023-06-29 01:16:21.850
2,24.0,20134000,2023-06-29 01:16:05.850
2,16.0,20134000,2023-06-29 01:15:29.968
2,16.0,19634000,2023-06-29 01:15:55.850
2,16.0,19634000,2023-06-29 01:16:11.850
2,16.0,19134000,2023-06-29 01:15:39.852
2,8.0,19134000,2023-06-29 01:16:11.887
2,16.0,18784000,2023-06-29 01:15:43.853
1,16.0,16484000,2023-06-29 01:16:31.851
1,24.0,16134000,2023-06-29 01:16:37.851
1,32.0,15634000,2023-06-29 01:15:53.851
1,6.0,15134000,2023-06-29 01:16:01.855
1,34.0,15134000,2023-06-29 01:16:27.851
1,48.0,14634000,2023-06-29 01:16:19.853
