rank,useragent,count
1,/dcrwire:1.0.0/dcrd:1.8.0/,63
2,/dcrwire:1.0.0/dcrd:1.7.7/,27
3,/dcrwire:1.0.0/dcrd:1.7.5/,20
4,/dcrwire:1.0.0/dcrd:1.7.1/,18
5,/dcrwire:1.0.0/dcrd:1.7.2/,11
6,/dcrwire:1.0.0/dcrd:1.8.0(pre)/,7
7,/dcrwire:1.0.0/dcrd:1.7.0/,6
8,/dcrwire:0.3.0/dcrd:1.4.0/,3
9,/dcrwire:0.4.0/dcrd:1.6.2/,2
10,/dcrwire:0.4.0/dcrd:1.6.0(pre)/,1
11,/dcrwire:0.4.0/dcrd:1.6.1/,1
12,/dcrwire:1.0.0/dcrd:1.7.4/,1
13,/dcrwire:0.4.0/dcrd:1.6.0(rc4)/,1
14,/dcrwire:0.4.0/dcrd:1.5.1/,1
15,/dcrwire:0.4.0/dcrd:1.6.0/,1
